"Day","Count","Amount"
2015-01-01,2791,42764.8
2015-01-02,1293,18007.46
2015-01-03,1707,24249.96
2015-01-04,1415,20933.34
2015-01-05,1247,17565.6
2015-01-06,1250,17120.62
2015-01-07,1358,18060.36
2015-01-08,1490,20578.53
2015-01-09,1595,23380.71
2015-01-10,2141,29999.09
2015-01-11,1811,26881.24
2015-01-12,1281,18842.59
2015-01-13,1379,19449.44
2015-01-14,1409,19762.76
2015-01-15,1491,21120.06
2015-01-16,1819,26199.3
2015-01-17,2158,31121.58
2015-01-18,1983,28873.49
2015-01-19,1133,16676.94
2015-01-20,1263,18937.43
2015-01-21,1341,18889.74
2015-01-22,1509,21434.56
2015-01-23,1707,24666.56
2015-01-24,2009,30624.97
2015-01-25,1788,27185.8
2015-01-26,1180,16008.36
2015-01-27,315,3929.28
2015-01-28,1353,19575.29
2015-01-29,1444,20807.74
2015-01-30,1888,27360.39
2015-01-31,2372,35051.66
2015-02-01,1969,30127.59
2015-02-02,1227,17532.81
2015-02-03,1287,18885.66
2015-02-04,1297,19524.34
2015-02-05,1464,20526.35
2015-02-06,1733,25174.76
2015-02-07,2285,33714
2015-02-08,1974,29898.52
2015-02-09,1320,18293.97
2015-02-10,1349,19591.88
2015-02-11,1439,20007.73
2015-02-12,1636,23775.42
2015-02-13,2067,30597.1
2015-02-14,2452,37041.62
2015-02-15,2063,29563.95
2015-02-16,1414,20233.85
2015-02-17,1087,15486.91
2015-02-18,1322,19710.88
2015-02-19,1637,23472.72
2015-02-20,1841,26661.96
2015-02-21,2077,30893.89
2015-02-22,1617,23495.75
2015-02-23,1583,22534.68
2015-02-24,1439,20353.73
2015-02-25,1507,21811.22
2015-02-26,1723,25521.62
2015-02-27,1984,28514.24
2015-02-28,2478,36183.38
2015-03-01,1869,27977.06
2015-03-02,1175,16931.26
2015-03-03,1303,18265.07
2015-03-04,1330,19401.34
2015-03-05,1266,17442.8
2015-03-06,1603,24736.89
2015-03-07,2108,30494.14
2015-03-08,1761,27773.98
2015-03-09,1252,19009.25
2015-03-10,1223,17695.55
2015-03-11,1382,20943.47
2015-03-12,1463,22062.83
2015-03-13,1753,26979.07
2015-03-14,2145,32951.64
2015-03-15,1886,27738.22
2015-03-16,1213,17612.86
2015-03-17,1296,20352.99
2015-03-18,1441,20585.12
2015-03-19,1440,20862.91
2015-03-20,1627,23288.76
2015-03-21,1985,29842.08
2015-03-22,1979,29698.33
2015-03-23,1290,18454.57
2015-03-24,1207,17207.01
2015-03-25,1279,18423.52
2015-03-26,1432,21189.84
2015-03-27,1767,26242.01
2015-03-28,2355,34256.9
2015-03-29,2028,30294.39
2015-03-30,1249,18021.87
2015-03-31,1321,19578.97
2015-04-01,1462,21557.48
