"Day","CountNight","CountDay"
2015-01-01,2290,501
2015-01-02,693,600
2015-01-03,1176,531
2015-01-04,885,530
2015-01-05,442,805
2015-01-06,465,785
2015-01-07,507,851
2015-01-08,591,899
2015-01-09,829,766
2015-01-10,1480,661
2015-01-11,1272,539
2015-01-12,424,857
2015-01-13,527,852
2015-01-14,570,839
2015-01-15,644,847
2015-01-16,952,867
2015-01-17,1487,671
2015-01-18,1367,616
2015-01-19,570,563
2015-01-20,429,834
2015-01-21,491,850
2015-01-22,622,887
2015-01-23,839,868
2015-01-24,1396,613
2015-01-25,1218,570
2015-01-26,305,875
2015-01-27,187,128
2015-01-28,416,937
2015-01-29,592,852
2015-01-30,950,938
2015-01-31,1609,763
2015-02-01,1415,554
2015-02-02,475,752
2015-02-03,437,850
2015-02-04,450,847
2015-02-05,607,857
2015-02-06,807,926
2015-02-07,1531,754
2015-02-08,1361,613
2015-02-09,451,869
2015-02-10,454,895
2015-02-11,510,929
2015-02-12,705,931
2015-02-13,1004,1063
2015-02-14,1652,800
2015-02-15,1421,642
2015-02-16,687,727
2015-02-17,438,649
2015-02-18,524,798
2015-02-19,670,967
2015-02-20,863,978
2015-02-21,1372,705
2015-02-22,1060,557
2015-02-23,625,958
2015-02-24,487,952
2015-02-25,578,929
2015-02-26,700,1023
2015-02-27,1010,974
2015-02-28,1689,789
2015-03-01,1275,594
2015-03-02,392,783
2015-03-03,474,829
2015-03-04,462,868
2015-03-05,503,763
2015-03-06,816,787
2015-03-07,1415,693
2015-03-08,1191,570
2015-03-09,464,788
2015-03-10,480,743
2015-03-11,531,851
2015-03-12,623,840
2015-03-13,871,882
2015-03-14,1409,736
2015-03-15,1279,607
2015-03-16,447,766
2015-03-17,556,740
2015-03-18,613,828
2015-03-19,587,853
2015-03-20,796,831
2015-03-21,1278,707
2015-03-22,1441,538
2015-03-23,473,817
2015-03-24,443,764
2015-03-25,513,766
2015-03-26,622,810
2015-03-27,906,861
2015-03-28,1632,723
2015-03-29,1448,580
2015-03-30,488,761
2015-03-31,496,825
2015-04-01,584,878
2015-04-02,711,845
2015-04-03,976,800
2015-04-04,1453,607
2015-04-05,1259,591
2015-04-06,531,825
2015-04-07,497,776
2015-04-08,579,815
2015-04-09,669,794
2015-04-10,916,838
2015-04-11,1561,716
2015-04-12,1475,550
